LeftThalamicRadiation,RightThalamicRadiation,LeftCorticospinal,RightCorticospinal,LeftCingulumCingulate,RightCingulumCingulate,LeftCingulumHippocampus,RightCingulumHippocampus,CallosumForcepsMajor,CallosumForcepsMinor,LeftIFOF,RightIFOF,LeftILF,RightILF,LeftSLF,RightSLF,LeftUncinate,RightUncinate,LeftArcuate,RightArcuate
NaN,NaN,0.342209400006778,0.39142208709081,NaN,NaN,NaN,NaN,NaN,0.36082315108766,0.426872175474859,NaN,0.471813672119158,0.358479180088053,0.402125523603122,0.459734553334781,0.354261385962207,NaN,0.339998944791748,0.374684260231935
NaN,NaN,0.360032590329173,0.400569737459851,NaN,NaN,NaN,NaN,NaN,0.364324699421527,0.432556528240199,NaN,0.470169057542446,0.356791939431612,0.399407281915597,0.461845511243283,0.334026739631317,NaN,0.338505312898701,0.37062432875825
NaN,NaN,0.370844037371659,0.38973458358752,NaN,NaN,NaN,NaN,NaN,0.373634360952057,0.448307154080373,NaN,0.454802029495694,0.351871778504288,0.396925780415563,0.46216156866581,0.316715515097175,NaN,0.339585634524473,0.357995083184578
NaN,NaN,0.382905336846376,0.383000489911825,NaN,NaN,NaN,NaN,NaN,0.384031273808466,0.41471965849879,NaN,0.438919453511917,0.34809117779267,0.394331947512076,0.459977962524853,0.303279194330517,NaN,0.348914807909802,0.34564995291447
NaN,NaN,0.395996316770496,0.384138539281763,NaN,NaN,NaN,NaN,NaN,0.395206277141274,0.37296441981483,NaN,0.425167578488234,0.345423379936295,0.39097025849904,0.45695288190423,0.294202635296275,NaN,0.365319726661142,0.335305439709172
NaN,NaN,0.407254705131753,0.385655875039463,NaN,NaN,NaN,NaN,NaN,0.407464272598093,0.368394233839192,NaN,0.416404989798686,0.338919488310717,0.386925365595632,0.45369048445364,0.286587531200411,NaN,0.383874923360294,0.333771952589344
NaN,NaN,0.412171433849744,0.357719375760325,NaN,NaN,NaN,NaN,NaN,0.419723004029615,0.407263487951299,NaN,0.413677618112161,0.330881802909703,0.382468689039989,0.450168320886949,0.277973974898542,NaN,0.401508510891522,0.336929998276859
NaN,NaN,0.403911917504221,0.320804723878947,NaN,NaN,NaN,NaN,NaN,0.431225465368871,0.481762430233454,NaN,0.413735253332521,0.323213936111712,0.377875719159532,0.446189411372454,0.26870866576961,NaN,0.416741185279507,0.339762637410796
NaN,NaN,0.396197595403167,0.293646278586995,NaN,NaN,NaN,NaN,NaN,0.438039265879597,0.474682977951652,NaN,0.416765767687129,0.319917985118516,0.373433078441484,0.442044009264692,0.260069472140271,NaN,0.428961897880605,0.343619064316098
NaN,NaN,0.394771596712142,0.279281719750054,NaN,NaN,NaN,NaN,NaN,0.437969468239095,0.436386154462087,NaN,0.422218917215918,0.321416069629372,0.36939880557594,0.438384809640447,0.253130458406029,NaN,0.436764950971993,0.352009563184721
NaN,NaN,0.400263141142973,0.28283773090787,NaN,NaN,NaN,NaN,NaN,0.430384063809845,0.41910780987037,NaN,0.425717944868735,0.324251554583655,0.365776552471081,0.435656530991906,0.248867277798268,NaN,0.440870313777078,0.363961048287221
NaN,NaN,0.410260645766125,0.306892263034026,NaN,NaN,NaN,NaN,NaN,0.416915140996295,0.436051074830044,NaN,0.428399843602709,0.327820668445372,0.362556265907214,0.434312725637918,0.245963416943913,NaN,0.442673820487723,0.377438502560308
NaN,NaN,0.42254318271865,0.340516841326351,NaN,NaN,NaN,NaN,NaN,0.401153401892196,0.448129665339303,NaN,0.432428951202799,0.330643655319481,0.359653717044235,0.433569076448836,0.243558013595481,NaN,0.442157347074688,0.389705118695678
NaN,NaN,0.447728674275352,0.378718679078238,NaN,NaN,NaN,NaN,NaN,0.38805548939928,0.492418080307456,NaN,0.444601366829833,0.334801916384727,0.356890056311523,0.432802474395843,0.239921410246812,NaN,0.4405002497345,0.397673793347562
NaN,NaN,0.484380421734039,0.418770969458591,NaN,NaN,NaN,NaN,NaN,0.380475219659855,0.514620460719719,NaN,0.471569078414402,0.339969845734618,0.354326543993636,0.431884259292115,0.234964816868395,NaN,0.437630812670293,0.402823834106413
NaN,NaN,0.528429128600058,0.449953750784275,NaN,NaN,NaN,NaN,NaN,0.379128418133375,0.54667671441546,NaN,0.50169492970222,0.341077347828572,0.351792012374866,0.430658743580201,0.229897865084327,NaN,0.433299940097482,0.405160455707601
