LeftThalamicRadiation,RightThalamicRadiation,LeftCorticospinal,RightCorticospinal,LeftCingulumCingulate,RightCingulumCingulate,LeftCingulumHippocampus,RightCingulumHippocampus,CallosumForcepsMajor,CallosumForcepsMinor,LeftIFOF,RightIFOF,LeftILF,RightILF,LeftSLF,RightSLF,LeftUncinate,RightUncinate,LeftArcuate,RightArcuate
0.312235628569934,NaN,0.37801401003633,0.392887987721905,NaN,NaN,0.215123631541338,NaN,NaN,0.403867541736806,0.468060259558585,0.572804028537618,0.512589795612106,0.501767265669081,0.357491545650428,0.388798012153477,0.34272289766683,0.290691769915367,0.423736400895525,NaN
0.314326491796617,NaN,0.3781550934559,0.37910825742258,NaN,NaN,0.218879211133523,NaN,NaN,0.406839278736467,0.480419300407917,0.585888636606173,0.497000672911537,0.497857455295928,0.358606060759526,0.392284467740321,0.334024443777549,0.288231576137724,0.424485398825169,NaN
0.319950954629289,NaN,0.356628032048783,0.365898680463077,NaN,NaN,0.224822644094198,NaN,NaN,0.412411948345735,0.490606639371659,0.567341025763402,0.484653723451233,0.497390364487875,0.359696273009434,0.394920348425619,0.325439060503605,0.286351799675459,0.426813605998684,NaN
0.325893508192588,NaN,0.34229488631719,0.356227092131139,NaN,NaN,0.233001922028806,NaN,NaN,0.416855099706472,0.477681073498648,0.548069674354898,0.472306606544582,0.495658830292979,0.360702351600885,0.39705536972619,0.317289875271542,0.285016794714231,0.429247637509129,NaN
0.331335335992305,NaN,0.33833958131194,0.353320956440567,NaN,NaN,0.239721147552963,NaN,NaN,0.421427329166042,0.452767375179738,0.5414442047444,0.459069379018689,0.490469210371946,0.361663878290825,0.399282981525845,0.309570693917743,0.284664553011409,0.428022996517417,NaN
0.338239065766364,NaN,0.338088437327391,0.355815918136426,NaN,NaN,0.242091081974969,NaN,NaN,0.429359547988575,0.453040639220332,0.544146994806489,0.448612869059789,0.486038588508438,0.362953633240481,0.402082307532588,0.302293304826958,0.285267363381221,0.426459744247672,NaN
0.34745017839323,NaN,0.327504238974164,0.360440344469047,NaN,NaN,0.244134806226535,NaN,NaN,0.425433037821996,0.488536821111345,0.546917058765447,0.441368190844608,0.48330032744234,0.364890566203064,0.405675976006934,0.295754754590127,0.286930790276544,0.424379889279177,NaN
0.357523813340419,NaN,0.310861212167964,0.350672640590138,NaN,NaN,0.246406601268846,NaN,NaN,0.421271516634553,0.557305226015598,0.560085461889583,0.432946545046438,0.484652245672612,0.367708365063194,0.410120312537254,0.28993617986248,0.289257476542241,0.420499446679046,NaN
0.368121399140453,NaN,0.298150021834821,0.32991563293123,NaN,NaN,0.248593400427566,NaN,NaN,0.418808356497406,0.592486390281725,0.546817377422599,0.421828138128517,0.489064774947613,0.371133020847632,0.414641626693288,0.285687528169208,0.292171884712743,0.415626990760788,NaN
0.378646584123345,NaN,0.295545779504747,0.310728136721556,NaN,NaN,0.249931022229781,NaN,NaN,0.417485770593208,0.596040447296893,0.545053415097624,0.412780845997826,0.493984750130793,0.375092220046474,0.417725608576312,0.283991132657247,0.295676426267197,0.411644087987799,NaN
0.388524516696997,NaN,0.304421989039137,0.294063958400341,NaN,NaN,0.25219026479439,NaN,NaN,0.417077083056167,0.584791391053379,0.563693368545827,0.40612445434111,0.498436519300336,0.379424417428308,0.418162569276505,0.284880033700438,0.29947975434174,0.408386032998777,NaN
0.398812106693644,NaN,0.317205548846905,0.274302315539815,NaN,NaN,0.252738088488554,NaN,NaN,0.407995375846987,0.575247776279242,0.57333191507295,0.403853189562437,0.500578611886182,0.383976002416954,0.417794534112032,0.288447602778402,0.303468057732733,0.404541700078624,NaN
0.409544560977868,NaN,0.325824370679113,0.272405017169107,NaN,NaN,0.251285712819339,NaN,NaN,0.389337221782967,0.560406595417176,0.580323735079445,0.405505653473012,0.501665649518733,0.388516224303242,0.417966214725072,0.294704481148621,0.30836174764225,0.400517920884666,NaN
0.413248977220491,NaN,0.326286158875074,0.29835651948103,NaN,NaN,0.249046442018508,NaN,NaN,0.36951174267516,0.551842247068742,0.588887282580713,0.407153349619726,0.503320364268527,0.392383680170209,0.418997210427309,0.303557866395512,0.315195321806544,0.398224189009137,NaN
0.405478811710994,NaN,0.320572828080973,0.338378460485218,NaN,NaN,0.247570119217721,NaN,NaN,0.358266772619667,0.545732225434596,0.575358369317295,0.408522781824366,0.503631592232918,0.394526471472747,0.420825110415901,0.314645589980652,0.32471113562196,0.396852450227475,NaN
0.396107448135155,NaN,0.309798542168126,0.370415110661009,NaN,NaN,0.246868712101975,NaN,NaN,0.352503236248712,0.530487408751171,0.581455420107123,0.410707388712217,0.500743964664551,0.395054314994018,0.42321465446119,0.327532256911732,0.337068130563687,0.396837306583762,NaN
0.387302897835334,NaN,0.299900785496979,0.377947244279876,NaN,NaN,0.246940941317692,NaN,NaN,0.346401151185223,0.51116790165045,0.614169726250693,0.415600349346389,0.498913242933225,0.395501166292802,0.425075726065322,0.340751632002879,0.352205719775152,0.398936451026007,NaN
0.373611853611886,NaN,0.296470116394918,0.3775312679584,NaN,NaN,0.247834926242371,NaN,NaN,0.34138653963833,0.504772973379075,0.607008830216189,0.421821658910989,0.500387887431393,0.395972561264365,0.425166321933278,0.353722543314264,0.369904688101239,0.401796627590998,NaN
0.351358807425075,NaN,0.303766376935026,0.381913883556062,NaN,NaN,0.249614099381311,NaN,NaN,0.340198902411681,0.518538847583496,0.575564449641245,0.429444748772939,0.505890962382708,0.39636937373646,0.423613042340303,0.365690399806778,0.389635519459661,0.404284275630102,NaN
